               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.021964,            0.007629,            0.026851,             0.74461,             0.84764,             0.84882,             0.68847,            0.021635,           0.0031074,            0.024788,             0.00538,             0.00538,             0.00538
                  58,            0.021273,           0.0073869,             0.02536,             0.71535,             0.85254,             0.83694,             0.67608,            0.020921,           0.0030842,            0.026469,           0.0052975,           0.0052975,           0.0052975
                  59,            0.021484,           0.0073228,            0.025923,             0.74953,             0.85988,             0.86725,             0.70932,            0.020578,           0.0031169,            0.023275,            0.005215,            0.005215,            0.005215
                  60,            0.021109,           0.0075452,            0.025576,             0.73958,              0.8788,             0.85394,             0.69849,            0.020132,           0.0032248,            0.026548,           0.0051325,           0.0051325,           0.0051325
                  61,            0.021113,           0.0072427,            0.024659,               0.741,             0.86206,             0.85812,             0.70295,            0.020548,           0.0031269,             0.02338,             0.00505,             0.00505,             0.00505
                  62,            0.020445,           0.0068981,            0.024997,               0.768,              0.8799,             0.87327,             0.70365,            0.020484,           0.0031203,            0.022226,           0.0049675,           0.0049675,           0.0049675
                  63,            0.020864,           0.0072387,            0.024797,             0.79786,              0.8828,             0.89522,             0.73732,              0.0191,           0.0030835,            0.021289,            0.004885,            0.004885,            0.004885
                  64,            0.021372,           0.0075863,            0.024439,             0.78861,             0.91087,              0.9078,             0.74141,            0.019944,            0.003071,            0.021128,           0.0048025,           0.0048025,           0.0048025
                  65,            0.021214,           0.0074062,            0.022669,             0.81086,             0.86528,             0.88996,             0.72558,            0.021351,           0.0032616,            0.019776,             0.00472,             0.00472,             0.00472
                  66,            0.020515,           0.0074253,            0.022989,             0.79373,              0.8775,             0.89623,             0.74037,            0.020015,           0.0030638,            0.024706,           0.0046375,           0.0046375,           0.0046375
                  67,            0.020823,           0.0072597,            0.021975,             0.81462,             0.89527,             0.91264,             0.75147,            0.019704,            0.003044,            0.020209,            0.004555,            0.004555,            0.004555
                  68,            0.020501,            0.007635,            0.021907,             0.85097,             0.83134,              0.9091,             0.74319,            0.020213,           0.0030742,            0.020908,           0.0044725,           0.0044725,           0.0044725
                  69,            0.019782,           0.0070138,            0.022184,             0.82011,             0.90108,             0.91958,             0.76381,            0.019888,           0.0030259,            0.021628,             0.00439,             0.00439,             0.00439
                  70,            0.021031,           0.0070146,            0.020276,             0.89648,             0.83711,             0.91612,             0.75371,            0.019607,           0.0030973,            0.022205,           0.0043075,           0.0043075,           0.0043075
                  71,            0.019933,           0.0070768,             0.02069,             0.86118,             0.88307,             0.92373,             0.75929,            0.021253,           0.0030745,            0.020145,            0.004225,            0.004225,            0.004225
                  72,            0.019326,           0.0070224,            0.020217,             0.85417,             0.87695,             0.92461,              0.7574,             0.01971,           0.0030786,            0.023664,           0.0041425,           0.0041425,           0.0041425
                  73,            0.019268,           0.0070493,            0.019798,             0.83534,             0.83988,             0.90667,             0.74802,            0.019533,            0.003017,            0.024415,             0.00406,             0.00406,             0.00406
                  74,            0.019788,            0.007035,             0.02102,              0.8536,             0.87236,             0.91067,             0.75161,            0.019977,           0.0029995,            0.019272,           0.0039775,           0.0039775,           0.0039775
                  75,            0.020061,           0.0069828,            0.020319,             0.89232,             0.88674,             0.93677,              0.7755,            0.019651,           0.0030026,            0.020786,            0.003895,            0.003895,            0.003895
                  76,             0.01905,           0.0070746,            0.020462,             0.87012,             0.86361,             0.91959,             0.76526,            0.019638,            0.002948,            0.019473,           0.0038125,           0.0038125,           0.0038125
                  77,            0.018662,           0.0068981,            0.019345,             0.84528,              0.9012,              0.9202,             0.76153,            0.018911,           0.0030954,            0.018121,             0.00373,             0.00373,             0.00373
                  78,            0.019069,           0.0069001,            0.018125,             0.85933,             0.92474,             0.93182,             0.77419,            0.019262,           0.0031035,            0.017886,           0.0036475,           0.0036475,           0.0036475
                  79,            0.019049,            0.006728,            0.019205,             0.87773,             0.88776,             0.92223,             0.76546,            0.019692,           0.0029896,            0.020424,            0.003565,            0.003565,            0.003565
                  80,            0.018613,            0.006726,            0.018019,             0.88728,             0.89217,              0.9382,              0.7744,            0.018614,           0.0031558,            0.017376,           0.0034825,           0.0034825,           0.0034825
                  81,             0.01874,           0.0064756,            0.019698,             0.89024,             0.88916,             0.93289,             0.77574,            0.019098,           0.0030368,            0.018097,              0.0034,              0.0034,              0.0034
                  82,            0.018587,           0.0065826,            0.017781,             0.84562,             0.90279,             0.92576,             0.77138,            0.020111,           0.0029889,             0.01649,           0.0033175,           0.0033175,           0.0033175
                  83,             0.01886,           0.0069509,            0.016983,             0.87095,             0.89107,             0.94269,             0.78077,            0.019398,           0.0030076,            0.016355,            0.003235,            0.003235,            0.003235
                  84,            0.018699,           0.0066219,            0.016957,             0.87283,             0.92037,             0.93574,             0.78351,            0.018763,            0.002974,            0.018488,           0.0031525,           0.0031525,           0.0031525
                  85,            0.018459,           0.0066928,            0.016836,              0.8455,             0.90011,             0.92597,             0.77926,            0.018948,           0.0029715,            0.017021,             0.00307,             0.00307,             0.00307
                  86,            0.018133,           0.0066533,            0.016754,             0.93141,             0.84856,             0.94106,             0.79114,            0.018876,           0.0030651,            0.017566,           0.0029875,           0.0029875,           0.0029875
                  87,            0.018133,           0.0067085,            0.016022,             0.90265,             0.88783,             0.92898,             0.78741,             0.01858,           0.0030782,            0.018638,            0.002905,            0.002905,            0.002905
                  88,            0.017113,           0.0068007,            0.016171,             0.89001,             0.89478,              0.9391,             0.79289,            0.019145,           0.0030032,            0.016076,           0.0028225,           0.0028225,           0.0028225
                  89,            0.017312,           0.0068281,            0.017339,               0.876,             0.89031,              0.9401,             0.79125,            0.018695,           0.0029266,            0.017861,             0.00274,             0.00274,             0.00274
                  90,            0.017301,           0.0067519,            0.015691,             0.88455,             0.89837,             0.93843,             0.78755,            0.018087,           0.0029421,            0.015482,           0.0026575,           0.0026575,           0.0026575
                  91,             0.01728,           0.0064507,            0.015659,             0.90247,             0.90299,             0.94741,             0.79806,            0.018205,           0.0029101,            0.014817,            0.002575,            0.002575,            0.002575
                  92,            0.017765,           0.0064892,            0.015006,             0.87605,             0.89709,             0.94061,             0.79281,            0.017652,           0.0029142,             0.01724,           0.0024925,           0.0024925,           0.0024925
                  93,            0.017219,           0.0066772,            0.016254,             0.87614,             0.91104,             0.93248,             0.77947,            0.018797,            0.002899,            0.014721,             0.00241,             0.00241,             0.00241
                  94,            0.017023,           0.0064561,             0.01495,             0.92663,               0.876,             0.93799,             0.78021,            0.018582,           0.0028752,            0.012111,           0.0023275,           0.0023275,           0.0023275
                  95,             0.01737,           0.0065237,            0.015502,              0.8747,             0.90169,             0.94052,             0.78951,            0.018869,            0.002833,            0.013815,            0.002245,            0.002245,            0.002245
                  96,            0.016393,           0.0063774,            0.013611,             0.85314,              0.9075,             0.91215,             0.76927,            0.018658,           0.0029975,            0.016377,           0.0021625,           0.0021625,           0.0021625
